"Class","Index","Stressor","n","Slope","L90","U90","Power","Do linear models provide evidence of index responsiveness to stress?"
"Hard bottom","ASCI_D","TN",107,-0.004,-0.008,0.001,1,"No"
"Hard bottom","ASCI_D","TP",90,-0.06,-0.138,0.017,1,"No"
"Hard bottom","ASCI_D","Chla",52,0,0,0,1,"No"
"Hard bottom","ASCI_D","AFDM",54,0,0,0,0.13,"Insufficient data"
"Hard bottom","ASCI_D","PCT_MAP",110,0,0,0,1,"No"
"Hard bottom","ASCI_D","SpCond",85,0,0,0,0.41,"Insufficient data"
"Hard bottom","ASCI_D","Temp",87,0.003,-0.002,0.009,1,"No"
"Hard bottom","ASCI_D","DO",85,0.004,-0.008,0.015,1,"No"
"Hard bottom","ASCI_D","PCT_SAFN",114,0,0,0,0.99,"No"
"Hard bottom","ASCI_H","TN",107,-0.002,-0.007,0.002,1,"No"
"Hard bottom","ASCI_H","TP",90,-0.051,-0.125,0.022,1,"No"
"Hard bottom","ASCI_H","Chla",52,0,0,0,1,"No"
"Hard bottom","ASCI_H","AFDM",54,0,0,0,0.13,"Insufficient data"
"Hard bottom","ASCI_H","PCT_MAP",109,0,0,0,1,"No"
"Hard bottom","ASCI_H","SpCond",84,0,0,0,1,"No"
"Hard bottom","ASCI_H","Temp",86,0.002,-0.004,0.008,1,"No"
"Hard bottom","ASCI_H","DO",84,0.002,-0.01,0.014,0.78,"Insufficient data"
"Hard bottom","ASCI_H","PCT_SAFN",113,0,0,0,1,"No"
"Hard bottom","CSCI","TN",121,-0.001,-0.004,0.002,1,"No"
"Hard bottom","CSCI","TP",101,-0.047,-0.101,0.008,1,"No"
"Hard bottom","CSCI","Chla",60,0,0,0,1,"No"
"Hard bottom","CSCI","AFDM",62,0,0,0,0.99,"No"
"Hard bottom","CSCI","PCT_MAP",134,0,0,0,0.64,"Insufficient data"
"Hard bottom","CSCI","SpCond",112,0,0,0,0.81,"No"
"Hard bottom","CSCI","Temp",113,-0.004,-0.008,0,1,"No"
"Hard bottom","CSCI","DO",111,-0.016,-0.024,-0.007,1,"No"
"Hard bottom","CSCI","PCT_SAFN",153,0,0,0,0.99,"No"
"Soft bottom-0 hard sides","ASCI_D","TN",37,-0.002,-0.004,0,1,"No"
"Soft bottom-0 hard sides","ASCI_D","TP",32,-0.047,-0.082,-0.013,1,"Yes"
"Soft bottom-0 hard sides","ASCI_D","Chla",22,0,0,0,0.98,"No"
"Soft bottom-0 hard sides","ASCI_D","AFDM",25,0,0,0,0.94,"No"
"Soft bottom-0 hard sides","ASCI_D","PCT_MAP",26,0,0,0,1,"No"
"Soft bottom-0 hard sides","ASCI_D","SpCond",21,0,0,0,0.98,"No"
"Soft bottom-0 hard sides","ASCI_D","Temp",21,0.006,-0.019,0.032,0.59,"Insufficient data"
