"Indicator","Index","Area","Pass both","Fail both","Fail BI","Fail ET","RR","L95","U95"
"Total N","ASCI_D","CV",7,29,10,10,1.3,0.8,1.9
"Total N","ASCI_D","MP",20,5,6,12,1.3,0.6,2.9
"Total N","ASCI_H","CV",7,35,7,7,1.7,1,2.7
"Total N","ASCI_H","MP",20,7,3,13,2.7,0.9,7.9
"Total N","CSCI","CV",5,11,40,0,1.1,1,1.2
"Total N","CSCI","MP",31,1,11,0,3.8,2.5,5.9
"Total P","ASCI_D","CV",9,29,10,8,1.5,1,2.2
"Total P","ASCI_D","MP",23,5,6,9,1.7,0.8,3.8
"Total P","ASCI_H","CV",8,31,11,6,1.4,1,2.1
"Total P","ASCI_H","MP",26,7,3,7,4.8,1.7,13.5
"Total P","CSCI","CV",5,22,29,0,1.2,1.1,1.3
"Total P","CSCI","MP",31,0,12,0,NA,NA,NA
"Chl-a","ASCI_D","CV",15,5,34,2,1,0.7,1.6
"Chl-a","ASCI_D","MP",31,0,11,1,NA,NA,NA
"Chl-a","ASCI_H","CV",13,6,36,1,1.2,0.9,1.6
"Chl-a","ASCI_H","MP",32,0,10,1,NA,NA,NA
"Chl-a","CSCI","CV",5,6,45,0,1.1,1,1.2
"Chl-a","CSCI","MP",30,0,12,1,NA,NA,NA
"AFDM","ASCI_D","CV",10,15,24,7,1,0.7,1.3
"AFDM","ASCI_D","MP",27,2,9,5,1.1,0.4,3
"AFDM","ASCI_H","CV",9,17,25,5,1.1,0.8,1.4
"AFDM","ASCI_H","MP",29,3,7,4,2.2,0.9,5.5
"AFDM","CSCI","CV",5,13,38,0,1.1,1,1.2
"AFDM","CSCI","MP",30,2,10,1,2.7,1.1,6.5
"% cover","ASCI_D","CV",6,11,27,10,0.6,0.4,0.9
"% cover","ASCI_D","MP",22,0,10,8,NA,NA,NA
"% cover","ASCI_H","CV",5,13,28,8,0.7,0.5,1
"% cover","ASCI_H","MP",24,1,9,6,0.5,0.1,2.9
"% cover","CSCI","CV",2,19,31,2,1,0.8,1.1
"% cover","CSCI","MP",24,1,9,6,0.5,0.1,2.9
