"Class","Approach","Details","Stringency","Indicator type","Indicator","Threshold","Flag"
"Wadeable streams","Reference","30th percentile of reference values","High","Biointegrity","CSCI",0.92,""
"Wadeable streams","Reference","10th percentile of reference values","Intermediate","Biointegrity","CSCI",0.79,""
"Wadeable streams","Reference","1st percentile of reference values","Low","Biointegrity","CSCI",0.63,""
"RFI-N","Reference","30th percentile of reference values","High","Biointegrity","CSCI",0.73,""
"RFI-N","Reference","10th percentile of reference values","Intermediate","Biointegrity","CSCI",0.61,""
"RFI-N","Reference","1st percentile of reference values","Low","Biointegrity","CSCI",0.44,""
"RFI-S","Reference","30th percentile of reference values","High","Biointegrity","CSCI",0.89,""
"RFI-S","Reference","10th percentile of reference values","Intermediate","Biointegrity","CSCI",0.82,"Biointegrity goal is higher than reference."
"RFI-S","Reference","1st percentile of reference values","Low","Biointegrity","CSCI",0.71,"Biointegrity goal is higher than reference."
"CVF","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.85,""
"CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.67,""
"CVF","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.52,""
"HB","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.74,""
"HB","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.67,""
"HB","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.55,""
"SB2","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.96,"Biointegrity goal is higher than reference."
"SB2","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.75,""
"SB2","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.64,"Biointegrity goal is higher than reference."
"SB1","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",1.1,"Biointegrity goal is higher than reference."
"SB1","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",1,"Biointegrity goal is higher than reference."
"SB1","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.81,"Biointegrity goal is higher than reference."
"SB0","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.99,"Biointegrity goal is higher than reference."
"SB0","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.78,""
"SB0","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.66,"Biointegrity goal is higher than reference."
"CC","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.53,""
"CC","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.45,""
"CC","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.37,""
"SB0_CVF","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.51,""
"SB0_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.47,""
"SB0_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.38,""
"HB_CVF","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.57,""
"HB_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.49,""
"HB_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.39,""
"CC_CVF","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.53,""
"CC_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.45,""
"CC_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.37,""
"Wadeable streams","Reference","30th percentile of reference values","High","Biointegrity","ASCI_D",0.94,""
"Wadeable streams","Reference","10th percentile of reference values","Intermediate","Biointegrity","ASCI_D",0.86,""
"Wadeable streams","Reference","1st percentile of reference values","Low","Biointegrity","ASCI_D",0.75,""
"RFI-N","Reference","30th percentile of reference values","High","Biointegrity","ASCI_D",0.98,"Biointegrity goal is higher than reference."
"RFI-N","Reference","10th percentile of reference values","Intermediate","Biointegrity","ASCI_D",0.9,"Biointegrity goal is higher than reference."
