"BiostimVar","BSPretty","Response","BIgoal","Stratum","BIgoal2","n.cal","n.val","PseudoR2","AccRate_Cal","AccRate_Val","n_withinCal","n_withinVal","AccRate_withinCal","AccRate_withinVal","Int","Int.p","Coef","Coef.p","p50","p50.l95","p50.u95","p80","p80.l95","p80.u95","p90","p90.l95","p90.u95","p95","p95.l95","p95.u95"
"Nitrogen_Total_mgPerL","Total N","ASCI_D","BCG3","Arid","BCG3",519,171,0.196857667662239,0.74373795761079,0.754385964912281,100,28,0.696666666666667,0.773809523809524,0.174708535683522,0.26273858513051,-3.19098958851052,1.35685582514506e-09,0.363363363363363,0.291291291291291,0.468468468468468,0.135135135135135,0.0510510510510511,0.201201201201201,0.0660660660660661,-Inf,0.138138138138138,0.033033033033033,-Inf,0.108108108108108
"Nitrogen_Total_mgPerL","Total N","ASCI_D","BCG3","California","BCG3",794,271,0.144545889851977,0.673803526448363,0.682656826568266,156,47,0.666132478632479,0.662056737588652,0.140863362486798,0.197070873438224,-3.02499396189911,2.62559984254509e-11,0.378378378378378,0.309309309309309,0.486486486486486,0.141141141141141,0.0840840840840841,0.195195195195195,0.0690690690690691,0,0.123123123123123,0.033033033033033,-Inf,0.0900900900900901
"Nitrogen_Total_mgPerL","Total N","ASCI_D","BCG3","Wet","BCG3",275,100,0.00196118273951718,0.534545454545455,0.58,56,19,0.641369047619048,0.571052631578947,-0.0130744668318191,0.945096603668347,-1.33211934966713,0.394669734742426,0.81981981981982,0.303303303303303,Inf,0.3003003003003,0.114114114114114,Inf,0.147147147147147,-Inf,Inf,0.0720720720720721,-Inf,Inf
"Nitrogen_Total_mgPerL","Total N","ASCI_D","BCG4","Arid","BCG4",519,171,0.0823768672061904,0.847784200385356,0.853801169590643,100,28,0.868333333333333,0.857142857142857,2.15439276061868,7.0687128291051e-45,-0.221146982544072,4.15177611787832e-07,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2.11711711711712,Inf,1.85285285285285,0.597597597597598,Inf
"Nitrogen_Total_mgPerL","Total N","ASCI_D","BCG4","California","BCG4",794,271,0.108940081500862,0.897984886649874,0.904059040590406,156,47,0.915598290598291,0.911854103343465,2.64456205129434,1.98892327924104e-72,-0.290581487522883,1.39138202774298e-10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2.47447447447447,Inf,2.00900900900901,1.13213213213213,2.97897897897898
"Nitrogen_Total_mgPerL","Total N","ASCI_D","BCG4","Wet","BCG4",275,100,0.000961078932865678,0.996363636363636,0.99,56,19,1,0.992481203007519,5.73985201057894,0.000131723033833788,-1.27988389577291,0.905287703544797,Inf,0.336336336336336,Inf,Inf,0.27027027027027,Inf,2.78978978978979,0.228228228228228,Inf,2.23123123123123,0.183183183183183,Inf
"Nitrogen_Total_mgPerL","Total N","ASCI_D","Ref01","Arid","Ref01",519,171,0.141871933545625,0.741811175337187,0.701754385964912,100,28,0.784166666666667,0.695238095238095,1.05013394045484,4.43453937628541e-19,-0.608472383878714,9.72927232785496e-11,2.5975975975976,2.06606606606607,Inf,1.10810810810811,0.786786786786787,1.51951951951952,0.585585585585586,0.24024024024024,0.912912912912913,0.303303303303303,-Inf,0.621621621621622
"Nitrogen_Total_mgPerL","Total N","ASCI_D","Ref01","California","Ref01",794,271,0.161348210256544,0.793450881612091,0.756457564575646,156,47,0.808226495726496,0.761904761904762,1.50158804032877,5.81625805966621e-49,-0.797120848982368,3.36690527634743e-14,2.34534534534535,1.91591591591592,Inf,1.08108108108108,0.846846846846847,1.4024024024024,0.594594594594595,0.378378378378378,0.831831831831832,0.318318318318318,0.0750750750750751,0.534534534534534
"Nitrogen_Total_mgPerL","Total N","ASCI_D","Ref01","Wet","Ref01",275,100,0.013219216441396,0.916363636363636,0.86,56,19,0.87797619047619,0.86015037593985,2.73523168581234,5.51316975915714e-17,-3.27530537142033,0.123006791256487,0.870870870870871,0.438438438438438,Inf,0.495495495495495,0.264264264264264,Inf,0.315315315315315,0.168168168168168,Inf,0.189189189189189,-Inf,Inf
"Nitrogen_Total_mgPerL","Total N","ASCI_D","Ref10","Arid","Ref10",519,171,0.173403000815282,0.71868978805395,0.713450292397661,100,28,0.698,0.657142857142857,0.543117471360882,2.89955137900913e-05,-1.53411733138873,6.58525892552029e-10,0.855855855855856,0.687687687687688,1.13813813813814,0.336336336336336,0.204204204204204,0.468468468468468,0.171171171171171,0.00600600600600601,0.297297297297297,0.0870870870870871,-Inf,0.216216216216216
"Nitrogen_Total_mgPerL","Total N","ASCI_D","Ref10","California","Ref10",794,271,0.163129993921172,0.721662468513854,0.726937269372694,156,47,0.697435897435897,0.660283687943262,0.834800859899153,5.61710948492728e-17,-1.81935166248114,1.48624074344586e-13,0.801801801801802,0.660660660660661,1.02402402402402,0.33033033033033,0.243243243243243,0.426426426426426,0.171171171171171,0.0750750750750751,0.255255255255255,0.0870870870870871,-Inf,0.174174174174174
"Nitrogen_Total_mgPerL","Total N","ASCI_D","Ref10","Wet","Ref10",275,100,0.000239585896608996,0.730909090909091,0.77,56,19,0.675595238095238,0.726315789473684,1.0435818203906,6.78367182215883e-07,-0.465641770369807,0.780370950906417,Inf,0.498498498498498,Inf,1.44444444444444,0.243243243243243,Inf,0.762762762762763,0.132132132132132,Inf,0.393393393393393,-Inf,Inf
"Nitrogen_Total_mgPerL","Total N","ASCI_D","Ref30","Arid","Ref30",519,171,0.205293982261801,0.747591522157996,0.789473684210526,100,28,0.690166666666667,0.838095238095238,0.257078151966996,0.100188485116961,-3.30350716784485,4.76215558366884e-10,0.36036036036036,0.291291291291291,0.459459459459459,0.135135135135135,0.0540540540540541,0.201201201201201,0.0660660660660661,-Inf,0.135135135135135,0.033033033033033,-Inf,0.105105105105105
"Nitrogen_Total_mgPerL","Total N","ASCI_D","Ref30","California","Ref30",794,271,0.156601826112813,0.683879093198992,0.690036900369004,156,47,0.626816239316239,0.700354609929078,0.270992767058625,0.0136468756618293,-3.22752069804967,2.80743861956253e-12,0.369369369369369,0.306306306306306,0.468468468468468,0.141141141141141,0.0870870870870871,0.189189189189189,0.0690690690690691,0.003003003003003,0.12012012012012,0.033033033033033,-Inf,0.0870870870870871
