StationCode,SampleDate,ReachLength,Transects,GrabSize_m2,BMI_CollectionMethod,WettedWidth_Median,WettedWidth_Mean,Flow_VisEstimated,Dry_Percent,Dry_Glide_Percent,Flow,Velocity_Max,DeepestDepth_Mean,SampleComments,FieldComments,HabitatComments,Status,RDM,Mcover,Include,Redundant
201CHE300,6/18/2012,150,11,0.99,BMI_RWB,1.8,1.9,1-5 cfs,0,42.25,,0.12,13.2,,,,Likely ok,keep,,TRUE,FALSE
201EAS050,4/13/2005,,,0.81,BMI_CSBP_Comp,,,,,,,,,,,,Presumed ok,keep,Yes,TRUE,FALSE
201HAL400,5/24/2016,150,11,0.99,BMI_RWB,2.2,2.6,,0,33.25,,,15.7,,FLV (Velocity too low to be measured),FLV (Velocity too low to be measured),Likely ok,Keep,,TRUE,FALSE
201RDW790,5/14/2019,150,11,0.99,BMI_RWB,1.6,1.7,,0,29.5,,,15.0,,,,Likely ok,keep,,TRUE,FALSE
201WLK170,4/18/2001,,,0.27,BMI_CSBP_Trans,,,,,,,,,,,,Presumed ok,keep,Yes,TRUE,FALSE
202R00214,6/6/2013,,,,,,,,,,,,,,,,Presumed ok,keep,,TRUE,FALSE
203R00983,6/6/2013,150,8,0.99,BMI_RWB,1.0,1.1,Trickle (<0.1 cfs),87.5,48.25,,,2.2,,,"Surface water discontinuous – three transects (H, I, K) dry and not sampled for algae or BMI. Three additional transects sampled for BMI, into a separate container. This BMI sample was combined with the other BMI sample. Puddle and trickles and seeps.",Exclude sample,"Exclude due to discontinuous flow, super shallow",,FALSE,FALSE
204AMCADD,4/25/2014,,,,,,,,,,,,,,,,Presumed ok,keep,,TRUE,FALSE
204IND200,4/29/2008,150,11,0.99,BMI_RWB,3.1,3.2,1-5 cfs,0,5.25,,0.7,14.3,,,FDR (Dry Channel - may apply to single or multiple points/transects),Likely ok,keep,,TRUE,FALSE
204IND200,4/13/2009,150,11,0.99,BMI_RWB,3.2,3.1,0.1 -1 cfs,0,3,,0.5,20.5,,,FDR (Dry Channel - may apply to single or multiple points/transects),Likely ok,keep,,TRUE,FALSE
204IND200,5/25/2010,150,,0.99,BMI_RWB,3.6,4.3,5-20 cfs,9,8,,1.08,16.1,,,FDR (Dry Channel - may apply to single or multiple points/transects),Likely ok,keep,,TRUE,FALSE
204IND200,4/28/2015,150,11,0.99,BMI_RWB,3.0,3.2,1-5 cfs,5,28.75,,0.11,12.9,Sampled 3 days after a rain event (>0.5 inches) that might have caused streambed scour,,FDR (Dry Channel - may apply to single or multiple points/transects),Exclude sample,"Exclude due to discontinuous flow, scour",,FALSE,FALSE
204IND200,6/15/2015,150,11,0.99,BMI_RWB,2.2,2.1,0.1 -1 cfs,37.5,43.5,,0.11,10.8,,,FDR (Dry Channel - may apply to single or multiple points/transects),Exclude sample,Exclude due to discontinuous flow,,FALSE,FALSE
204INDSAR,5/6/2004,,,0.27,BMI_CSBP_Trans,,,,,,,,,,,,Presumed ok,keep,Yes,TRUE,FALSE
204LACSAC,5/11/2004,,,0.27,BMI_CSBP_Trans,,,,,,,,,,,,Presumed ok,keep,Yes,TRUE,FALSE
204SIN300,5/15/2012,150,11,0.99,BMI_RWB,2.4,2.6,0.1 -1 cfs,0.5,46.4,,0,11.1,,,FDR (Dry Channel - may apply to single or multiple points/transects),Likely ok,keep,,TRUE,FALSE
204SLE180,5/2/2001,,,0.27,BMI_CSBP_Trans,,,,,,,,,,,,Presumed ok,keep,Yes,TRUE,FALSE
204SMA180,4/2/2003,,,0.27,BMI_CSBP_Trans,,,,,,,,,,,,Presumed ok,keep,Yes,TRUE,FALSE
204SMA180,4/15/2004,,,0.72,BMI_TRC,,,,,,,,,,,,Presumed ok,keep,Yes,TRUE,FALSE
204SMA180,3/20/2009,,,,,,,,,,,,,,,,Presumed ok,keep,,TRUE,FALSE
